#node time(s) x y

0 0.0 87.42166137155246 293.5492014149789
1 0.0 89.4839725872686 297.6066788174057
2 0.0 91.73625297454328 296.85752508269525
3 0.0 92.01118871019348 297.28371391422706
4 0.0 90.80912521894834 294.4713115789922
0 0.5 89.56046327826502 292.9430994514625
1 0.5 91.64459439782799 297.02463010297566
2 0.5 94.02543908134356 296.21713903040626
3 0.5 94.1273877529979 296.6502644831887
4 0.5 92.9880122308019 293.86534453851743
0 1.0 91.69926518497753 292.3369974879461
1 1.0 93.80521620838735 296.4425813885456
2 1.0 96.31462518814389 295.5767529781173
3 1.0 96.24358679580234 296.0168150521504
4 1.0 95.16689924265545 293.2593774980427
0 1.5 93.83806709169009 291.7308955244297
1 1.5 95.96583801894674 295.8605326741156
2 1.5 98.60381129494418 294.93636692582834
3 1.5 98.35978583860678 295.38336562111203
4 1.5 97.345786254509 292.65341045756793
0 2.0 95.97686899840264 291.12479356091325
1 2.0 98.12645982950612 295.2784839596855
2 2.0 100.89299740174448 294.29598087353935
3 2.0 100.4759848814112 294.74991619007363
4 2.0 99.52467326636254 292.0474434170932
0 2.5 98.11567090511517 290.51869159739687
1 2.5 100.28708164006551 294.6964352452555
2 2.5 103.1821835085448 293.6555948212504
3 2.5 102.59218392421565 294.1164667590353
4 2.5 101.7035602782161 291.4414763766184
0 3.0 100.25447281182771 289.9125896338805
1 3.0 102.44770345062489 294.1143865308254
2 3.0 105.4713696153451 293.0152087689615
3 3.0 104.70838296702006 293.483017327997
4 3.0 103.88244729006965 290.8355093361437
0 3.5 102.39327471854025 289.3064876703641
1 3.5 104.60832526118426 293.5323378163954
2 3.5 107.7605557221454 292.3748227166725
3 3.5 106.8245820098245 292.84956789695866
4 3.5 106.06133430192321 290.2295422956689
0 4.0 104.5320766252528 288.70038570684767
1 4.0 106.76894707174364 292.95028910196527
2 4.0 110.0497418289457 291.7344366643835
3 4.0 108.94078105262892 292.2161184659203
4 4.0 108.24022131377676 289.62357525519417
0 4.5 106.67087853196534 288.0942837433313
1 4.5 108.92956888230303 292.36824038753525
2 4.5 112.338927935746 291.0940506120945
3 4.5 111.05698009543336 291.582669034882
4 4.5 110.41910832563032 289.0176082147194
0 5.0 108.80968043867787 287.48818177981485
1 5.0 111.09019069286241 291.78619167310524
2 5.0 114.62811404254631 290.4536645598056
3 5.0 113.17317913823778 290.9492196038436
4 5.0 112.59799533748387 288.41164117424466
0 5.5 110.94848234539043 286.88207981629847
1 5.5 113.25081250342178 291.20414295867516
2 5.5 116.9173001493466 289.8132785075166
3 5.5 115.28937818104222 290.31577017280523
4 5.5 114.77688234933741 287.8056741337699
0 6.0 113.08728425210296 286.27597785278203
1 6.0 115.41143431398116 290.62209424424515
2 6.0 119.20648625614692 289.1728924552276
3 6.0 117.40557722384665 289.6823207417669
4 6.0 116.95576936119097 287.19970709329516
0 6.5 115.2260861588155 285.66987588926565
1 6.5 117.57205612454055 290.04004552981513
2 6.5 121.4956723629472 288.5325064029387
3 6.5 119.52177626665107 289.04887131072854
4 6.5 119.13465637304452 286.5937400528204
0 7.0 117.36488806552806 285.0637739257493
1 7.0 119.73267793509993 289.45799681538506
2 7.0 123.7848584697475 287.8921203506497
3 7.0 121.63797530945551 288.4154218796902
4 7.0 121.31354338489808 285.98777301234566
0 7.5 119.50368997224061 284.45767196223284
1 7.5 121.8932997456593 288.875948100955
2 7.5 126.0740445765478 287.2517342983607
3 7.5 123.75417435225995 287.78197244865186
4 7.5 123.49243039675164 285.3818059718709
0 8.0 121.64249187895314 283.85156999871646
1 8.0 124.05392155621868 288.29389938652497
2 8.0 128.36323068334812 286.61134824607177
3 8.0 125.87037339506436 287.14852301761346
4 8.0 125.67131740860518 284.77583893139615
0 8.5 123.78129378566568 283.2454680352001
1 8.5 126.21454336677806 287.71185067209495
2 8.5 130.6524167901484 285.9709621937828
3 8.5 127.9865724378688 286.51507358657517
4 8.5 127.85020442045874 284.1698718909214
0 9.0 125.92009569237823 282.6393660716837
1 9.0 128.37516517733746 287.1298019576649
2 9.0 132.94160289694872 285.3305761414938
3 9.0 130.10277148067325 285.8816241555368
4 9.0 130.0290914323123 283.56390485044665
0 9.5 128.05889759909076 282.03326410816726
1 9.5 130.53578698789684 286.54775324323487
2 9.5 135.230789003749 284.69019008920486
3 9.5 132.21897052347765 285.2481747244985
4 9.5 132.20797844416586 282.9579378099719
0 10.0 130.1976995058033 281.4271621446508
1 10.0 132.69640879845622 285.9657045288048
2 10.0 137.51997511054932 284.0498040369159
3 10.0 134.3351695662821 284.6147252934601
4 10.0 134.3868654560194 282.35197076949714
0 10.5 132.33650141251584 280.82106018113444
1 10.5 134.8570306090156 285.3836558143747
2 10.5 139.80916121734964 283.40941798462694
3 10.5 136.45136860908653 283.98127586242174
4 10.5 136.56575246787295 281.7460037290224
0 11.0 134.47530331922837 280.21495821761806
1 11.0 137.01765241957497 284.8016070999447
2 11.0 142.09834732414993 282.76903193233795
3 11.0 138.56756765189095 283.3478264313834
4 11.0 138.74463947972652 281.1400366885477
0 11.5 136.61410522594093 279.6088562541017
1 11.5 139.17827423013435 284.21955838551463
2 11.5 144.38753343095024 282.128645880049
3 11.5 140.68376669469538 282.71437700034505
4 11.5 140.92352649158005 280.5340696480729
0 12.0 138.7529071326535 279.00275429058524
1 12.0 141.33889604069373 283.6375096710846
2 12.0 146.67671953775056 281.48825982776003
3 12.0 142.79996573749983 282.0809275693067
4 12.0 143.1024135034336 279.9281026075982
0 12.5 140.89170903936602 278.39665232706886
1 12.5 143.49951785125313 283.0554609566546
2 12.5 148.96590564455084 280.84787377547104
3 12.5 144.91616478030426 281.44747813826837
4 12.5 145.28130051528717 279.3221355671234
0 13.0 143.03051094607855 277.7905503635525
1 13.0 145.66013966181248 282.4734122422245
2 13.0 151.25509175135113 280.2074877231821
3 13.0 147.03236382310868 280.81402870723
4 13.0 147.4601875271407 278.71616852664863
0 13.5 145.1693128527911 277.18444840003605
1 13.5 147.82076147237188 281.8913635277945
2 13.5 153.54427785815145 279.5671016708931
3 13.5 149.1485628659131 280.1805792761917
4 13.5 149.63907453899427 278.1102014861739
0 14.0 147.30811475950367 276.57834643651967
1 14.0 149.98138328293123 281.3093148133645
2 14.0 155.83346396495176 278.92671561860413
3 14.0 151.26476190871753 279.54712984515334
4 14.0 151.81796155084783 277.5042344456991
0 14.5 149.44691666621617 275.97224447300323
1 14.5 152.14200509349064 280.72726609893436
2 14.5 158.12265007175205 278.28632956631515
3 14.5 153.38096095152196 278.913680414115
4 14.5 153.99684856270136 276.8982674052244
0 15.0 151.58571857292873 275.36614250948685
1 15.0 154.30262690405002 280.14521738450435
2 15.0 160.41183617855233 277.6459435140262
3 15.0 155.4971599943264 278.28023098307665
4 15.0 156.17573557455492 276.2923003647496
0 15.5 153.72452047964128 274.76004054597047
1 15.5 156.4632487146094 279.56316867007433
2 15.5 162.70102228535265 277.0055574617373
3 15.5 157.61335903713086 277.6467815520383
4 15.5 158.35462258640848 275.68633332427487
0 16.0 155.86332238635381 274.1539385824541
1 16.0 158.6238705251688 278.98111995564426
2 16.0 164.99020839215297 276.3651714094483
3 16.0 159.72955807993526 277.01333212099996
4 16.0 160.53350959826201 275.0803662838001
0 16.5 158.00212429306634 273.54783661893765
1 16.5 160.78449233572815 278.3990712412142
2 16.5 167.27939449895325 275.7247853571593
3 16.5 161.84575712273968 276.37988268996156
4 16.5 162.71239661011558 274.47439924332537
0 17.0 160.1409261997789 272.9417346554212
1 17.0 162.94511414628755 277.81702252678417
2 17.0 169.56858060575354 275.0843993048703
3 17.0 163.96195616554414 275.7464332589233
4 17.0 164.89128362196914 273.8684322028506
0 17.5 162.27972810649146 272.3356326919049
1 17.5 165.10573595684693 277.23497381235416
2 17.5 171.85776671255385 274.4440132525814
3 17.5 166.07815520834856 275.11298382788493
4 17.5 167.0701706338227 273.26246516237586
0 18.0 164.418530013204 271.72953072838845
1 18.0 167.2663577674063 276.65292509792414
2 18.0 174.14695281935417 273.8036272002924
3 18.0 168.194354251153 274.4795343968466
4 18.0 169.24905764567626 272.6564981219011
0 18.5 166.55733191991652 271.1234287648721
1 18.5 169.42697957796568 276.070876383494
2 18.5 176.43613892615446 273.1632411480034
3 18.5 170.3105532939574 273.8460849658082
4 18.5 171.4279446575298 272.05053108142636
0 19.0 168.69613382662908 270.51732680135564
1 19.0 171.58760138852506 275.488827669064
2 19.0 178.72532503295477 272.5228550957145
3 19.0 172.42675233676187 273.21263553476984
4 19.0 173.60683166938335 271.4445640409516
0 19.5 170.83493573334164 269.91122483783926
1 19.5 173.74822319908446 274.906778954634
2 19.5 181.0145111397551 271.8824690434255
3 19.5 174.5429513795663 272.5791861037315
4 19.5 175.78571868123692 270.83859700047685
0 20.0 172.97373764005417 269.3051228743228
1 20.0 175.90884500964384 274.3247302402039
2 20.0 183.30369724655537 271.2420829911365
3 20.0 176.65915042237071 271.94573667269316
4 20.0 177.96460569309045 270.2326299600021
0 20.5 175.1125395467667 268.69902091080644
1 20.5 178.06946682020322 273.7426815257739
2 20.5 185.5928833533557 270.60169693884757
3 20.5 178.77534946517514 271.3122872416548
4 20.5 180.143492704944 269.62666291952735
0 21.0 177.25134145347926 268.09291894729006
1 21.0 180.23008863076257 273.1606328113438
2 21.0 187.88206946015598 269.96131088655864
3 21.0 180.89154850797956 270.67883781061647
4 21.0 182.32237971679757 269.0206958790526
0 21.5 179.3901433601918 267.4868169837737
1 21.5 182.39071044132197 272.5785840969138
2 21.5 190.1712555669563 269.32092483426965
3 21.5 183.007747550784 270.0453883795781
4 21.5 184.5012667286511 268.41472883857784
0 22.0 181.52894526690432 266.88071502025724
1 22.0 184.55133225188135 271.9965353824838
2 22.0 192.46044167375658 268.68053878198066
3 22.0 185.12394659358844 269.4119389485398
4 22.0 186.68015374050466 267.80876179810315
0 22.5 183.66774717361687 266.27461305674086
1 22.5 186.71195406244073 271.4144866680537
2 22.5 194.74962778055686 268.04015272969167
3 22.5 187.24014563639284 268.77848951750144
4 22.5 188.85904075235823 267.20279475762834
0 23.0 185.8065490803294 265.6685110932244
1 23.0 188.8725758730001 270.83243795362364
2 23.0 197.0388138873572 267.39976667740274
3 23.0 189.3563446791973 268.14504008646304
4 23.0 191.03792776421176 266.5968277171536
0 23.5 187.94535098704196 265.06240912970804
1 23.5 191.03319768355948 270.2503892391936
2 23.5 199.32799999415747 266.75938062511375
3 23.5 191.47254372200172 267.51159065542475
4 23.5 193.21681477606535 265.99086067667884
0 24.0 190.0841528937545 264.45630716619166
1 24.0 193.19381949411888 269.6683405247636
