#node time(s) x y

0 0.0 262.34367791343635 188.7386520477232
1 0.0 258.84215033604073 184.93957746062577
2 0.0 269.2272131577651 186.6776464276146
3 0.0 259.64699774588917 183.45062278372558
4 0.0 255.79542783075829 182.62373614161623
0 0.5 262.25883281120934 188.5559644248017
1 0.5 257.66930036736693 184.14986007259557
3 0.5 259.5381881182156 183.33324479951904
4 0.5 254.8286954056877 180.77847441340487
0 1.0 262.17398770898234 188.37327680188014
1 1.0 256.49645039869307 183.36014268456535
3 1.0 259.429378490542 183.2158668153125
4 1.0 253.8619629806171 178.93321268519347
0 1.5 262.0891426067554 188.19058917895865
1 1.5 255.3236004300193 182.57042529653512
3 1.5 259.3205688628684 183.09848883110598
4 1.5 252.8952305555465 177.0879509569821
0 2.0 262.0042975045284 188.00790155603713
1 2.0 254.15075046134547 181.78070790850492
3 2.0 259.21175923519485 182.9811108468994
4 2.0 251.9284981304759 175.24268922877076
0 2.5 261.91945240230143 187.82521393311563
1 2.5 252.97790049267167 180.99099052047475
3 2.5 259.1029496075213 182.8637328626929
4 2.5 250.96176570540533 173.3974275005594
0 3.0 261.83460730007437 187.64252631019406
1 3.0 251.8050505239979 180.20127313244453
3 3.0 258.9941399798477 182.7463548784864
4 3.0 249.9950332803347 171.552165772348
0 3.5 261.7497621978474 187.45983868727257
1 3.5 250.63220055532406 179.4115557444143
3 3.5 258.8853303521741 182.62897689427984
4 3.5 249.02830085526412 169.70690404413662
0 4.0 261.6649170956204 187.27715106435102
1 4.0 249.45935058665023 178.6218383563841
2 4.0 269.0174094661564 186.85971318381542
3 4.0 258.77652072450053 182.5115989100733
4 4.0 248.06156843019352 167.86164231592522
0 4.5 261.58007199339346 187.09446344142953
1 4.5 248.2865006179764 177.83212096835388
2 4.5 268.664970067673 187.16555860315572
3 4.5 258.66771109682696 182.3942209258668
4 4.5 247.09483600512291 166.01638058771385
0 5.0 261.49522689116645 186.91177581850798
1 5.0 247.11365064930263 177.04240358032368
2 5.0 268.31253066918964 187.47140402249602
3 5.0 257.6008438749251 180.2659846786
4 5.0 246.1281035800523 164.17111885950249
0 5.5 261.41038178893945 186.72908819558648
1 5.5 245.9408006806288 176.25268619229348
2 5.5 267.9600912707063 187.77724944183637
3 5.5 256.3301026548948 177.70983917386351
4 5.5 245.16137115498174 162.32585713129114
0 6.0 261.32553668671244 186.54640057266496
1 6.0 244.76795071195497 175.46296880426326
2 6.0 267.60765187222296 188.08309486117668
3 6.0 255.05936143486454 175.153693669127
4 6.0 244.19463872991113 160.48059540307975
0 6.5 261.2406915844855 186.36371294974344
1 6.5 243.59510074328114 174.67325141623303
2 6.5 267.25521247373956 188.38894028051698
3 6.5 253.78862021483428 172.5975481643905
4 6.5 243.22790630484056 158.63533367486838
0 7.0 261.1558464822585 186.18102532682192
1 7.0 242.42225077460736 173.88353402820283
2 7.0 266.9027730752562 188.69478569985728
3 7.0 252.51787899480402 170.041402659654
4 7.0 242.26117387976998 156.790071946657
0 7.5 261.0710013800315 185.9983377039004
1 7.5 241.24940080593353 173.09381664017263
2 7.5 266.5503336767729 189.0006311191976
3 7.5 251.24713777477376 167.4852571549175
4 7.5 241.29444145469935 154.9448102184456
0 8.0 260.9861562778045 185.81565008097886
1 8.0 240.07655083725973 172.3040992521424
2 8.0 266.1978942782895 189.30647653853794
3 8.0 249.9763965547435 164.92911165018097
4 8.0 240.32770902962875 153.09954849023424
0 8.5 260.9013111755775 185.63296245805736
1 8.5 238.90370086858593 171.5143818641122
2 8.5 265.84545487980614 189.61232195787824
3 8.5 248.70565533471324 162.37296614544448
4 8.5 239.36097660455818 151.2542867620229
0 9.0 260.8164660733505 185.45027483513582
1 9.0 237.73085089991213 170.724664476082
2 9.0 265.4930154813228 189.91816737721857
3 9.0 247.43491411468295 159.81682064070796
4 9.0 238.39424417948757 149.40902503381153
0 9.5 260.73162097112356 185.26758721221432
1 9.5 236.5580009312383 169.93494708805179
2 9.5 265.14057608283946 190.22401279655887
3 9.5 246.1641728946527 157.26067513597147
4 9.5 237.42751175441697 147.56376330560013
0 10.0 260.64677586889655 185.08489958929277
1 10.0 235.38515096256447 169.1452297000216
2 10.0 264.7881366843561 190.5298582158992
3 10.0 244.89343167462243 154.70452963123498
4 10.0 236.4607793293464 145.71850157738876
0 10.5 260.56193076666955 184.90221196637125
1 10.5 234.21230099389066 168.35551231199136
2 10.5 264.4356972858727 190.8357036352395
3 10.5 243.62269045459215 152.14838412649843
4 10.5 235.49404690427576 143.87323984917737
0 11.0 260.47708566444254 184.71952434344973
1 11.0 233.03945102521686 167.56579492396116
2 11.0 264.0832578873894 191.1415490545798
3 11.0 242.3519492345619 149.59223862176194
4 11.0 234.5273144792052 142.027978120966
0 11.5 260.39224056221553 184.53683672052824
1 11.5 231.86660105654303 166.77607753593094
2 11.5 263.73081848890604 191.44739447392013
3 11.5 241.08120801453165 147.03609311702542
4 11.5 233.56058205413458 140.18271639275463
0 12.0 260.3073954599886 184.3541490976067
1 12.0 230.6937510878692 165.98636014790074
2 12.0 263.37837909042264 191.7532398932604
3 12.0 239.81046679450137 144.4799476122889
4 12.0 232.593849629064 138.3374546645433
0 12.5 260.2225503577616 184.17146147468517
1 12.5 229.52090111919546 165.19664275987054
2 12.5 263.0259396919393 192.05908531260076
3 12.5 238.5397255744711 141.92380210755243
4 12.5 231.62711720399344 136.49219293633192
0 13.0 260.13770525553457 183.98877385176365
1 13.0 228.3480511505216 164.40692537184032
2 13.0 262.67350029345596 192.36493073194106
3 13.0 237.26898435444087 139.3676566028159
4 13.0 230.66038477892283 134.64693120812052
0 13.5 260.0528601533076 183.80608622884213
1 13.5 227.1752011818478 163.61720798381012
2 13.5 262.32106089497256 192.67077615128136
3 13.5 235.99824313441061 136.81151109807942
4 13.5 229.6936523538522 132.80166947990915
0 14.0 259.9680150510806 183.6233986059206
1 14.0 226.002351213174 162.82749059577992
2 14.0 261.9686214964892 192.97662157062166
3 14.0 234.72750191438035 134.2553655933429
4 14.0 228.72691992878163 130.95640775169778
0 14.5 259.8831699488536 183.4407109829991
1 14.5 224.8295012445002 162.03777320774972
2 14.5 261.6161820980059 193.28246698996202
3 14.5 233.45676069435007 131.69922008860638
4 14.5 227.76018750371105 129.1111460234864
0 15.0 259.7983248466266 183.25802336007757
1 15.0 223.65665127582636 161.2480558197195
2 15.0 261.26374269952254 193.58831240930232
3 15.0 232.1860194743198 129.14307458386986
4 15.0 226.79345507864042 127.26588429527503
0 15.5 259.71347974439965 183.07533573715605
1 15.5 222.48380130715253 160.45833843168927
2 15.5 260.9113033010392 193.89415782864262
3 15.5 230.91527825428955 126.58692907913337
4 15.5 225.82672265356982 125.42062256706363
0 16.0 259.6517207004137 182.94235678323236
1 16.0 221.31095133847873 159.66862104365907
2 16.0 260.5588639025558 194.20000324798295
3 16.0 229.64453703425932 124.03078357439686
4 16.0 224.85999022849924 123.57536083885228
0 16.5 259.85451671306083 183.37901512314863
1 16.5 220.13810136980493 158.87890365562885
2 16.5 260.20642450407246 194.50584866732325
3 16.5 228.37379581422903 121.47463806966037
4 16.5 223.89325780342864 121.73009911064091
0 17.0 260.05731272570796 183.81567346306497
1 17.0 218.9652514011311 158.08918626759865
2 17.0 259.8539851055891 194.81169408666355
3 17.0 227.10305459419877 118.91849256492385
4 17.0 222.92652537835804 119.88483738242952
0 17.5 260.26010873835514 184.25233180298127
1 17.5 217.79240143245727 157.29946887956845
2 17.5 259.5015457071058 195.11753950600388
3 17.5 225.8323133741685 116.36234706018735
4 17.5 221.95979295328743 118.03957565421815
0 18.0 260.4629047510022 184.68899014289758
1 18.0 216.6195514637835 156.50975149153825
2 18.0 259.14910630862244 195.42338492534418
3 18.0 224.56157215413822 113.80620155545083
4 18.0 220.99306052821686 116.1943139260068
0 18.5 260.6657007636494 185.12564848281392
1 18.5 215.44670149510966 155.720034103508
2 18.5 258.79666691013904 195.7292303446845
3 18.5 223.290830934108 111.25005605071433
4 18.5 220.02632810314628 114.34905219779542
0 19.0 260.8684967762965 185.56230682273022
1 19.0 214.27385152643586 154.93031671547783
2 19.0 258.4442275116557 196.03507576402484
3 19.0 222.02008971407773 108.69391054597783
4 19.0 219.05959567807565 112.50379046958402
0 19.5 261.07129278894365 185.99896516264653
1 19.5 213.10100155776203 154.14059932744763
2 19.5 258.09178811317236 196.3409211833651
3 19.5 220.74934849404747 106.13776504124134
4 19.5 218.09286325300508 110.65852874137266
0 20.0 261.2740888015908 186.43562350256286
1 20.0 211.92815158908823 153.35088193941738
2 20.0 257.73934871468896 196.64676660270544
3 20.0 219.47860727401724 103.58161953650483
4 20.0 217.1261308279345 108.8132670131613
0 20.5 261.4768848142379 186.87228184247914
1 20.5 210.75530162041443 152.56116455138718
2 20.5 257.3869093162056 196.95261202204577
3 20.5 218.20786605398695 101.0254740317683
4 20.5 216.15939840286387 106.96800528494991
0 21.0 261.67968082688503 187.30894018239547
1 21.0 209.5824516517406 151.77144716335698
2 21.0 257.0344699177223 197.25845744138607
3 21.0 216.93712483395666 98.4693285270318
4 21.0 215.19266597779327 105.12274355673853
0 21.5 261.88247683953216 187.74559852231178
1 21.5 208.4096016830668 150.98172977532676
2 21.5 256.68203051923894 197.5643028607264
3 21.5 215.66638361392643 95.91318302229529
4 21.5 214.2259335527227 103.27748182852717
0 22.0 262.0852728521793 188.18225686222812
1 22.0 207.23675171439297 150.19201238729656
2 22.0 256.32959112075554 197.8701482800667
3 22.0 214.39564239389614 93.35703751755878
4 22.0 213.2592011276521 101.4322201003158
0 22.5 262.28806886482647 188.61891520214442
1 22.5 206.0639017457192 149.40229499926636
2 22.5 255.09627305036048 195.7251235633839
3 22.5 213.1249011738659 90.80089201282229
4 22.5 212.29246870258152 99.5869583721044
0 23.0 262.4908648774736 189.05557354206073
1 23.0 204.89105177704533 148.61257761123613
2 23.0 253.14981580636257 191.5959305847789
3 23.0 211.85415995383562 88.24474650808577
4 23.0 211.3257362775109 97.74169664389305
0 23.5 261.3051721510924 186.76316780727547
1 23.5 203.71820180837156 147.82286022320594
2 23.5 251.20335856236466 187.4667376061739
3 23.5 210.5834187338054 85.68860100334926
