#node time(s) x y

0 0.0 98.62076320690987 282.0643222830842
1 0.0 101.86958266553331 282.50779156212246
2 0.0 81.25385542398256 283.38135307195046
3 0.0 159.0673752440072 148.41042020022263
4 0.0 153.9802959582618 153.88277946571134
0 0.5 99.27989885082714 281.1677071965296
1 0.5 104.05992841594878 283.4371178720907
2 0.5 82.41349752585661 282.7432912668976
3 0.5 157.5279576560344 150.0290545338301
4 0.5 152.25901930861824 155.5844209812967
0 1.0 99.9390344947444 280.27109210997503
1 1.0 106.25027416636425 284.3664441820589
2 1.0 83.57313962773067 282.1052294618448
3 1.0 155.9885400680616 151.64768886743755
4 1.0 150.53774265897465 157.28606249688204
0 1.5 100.59817013866166 279.37447702342035
1 1.5 107.62763339350694 284.9508341888962
2 1.5 84.73278172960472 281.46716765679184
3 1.5 154.44912248008885 153.26632320104503
4 1.5 148.8164660093311 158.9877040124674
0 2.0 101.16995460271207 278.59668480196154
2 2.0 85.8924238314788 280.82910585173903
3 2.0 152.90970489211605 154.8849575346525
4 2.0 147.09518935968754 160.68934552805277
0 2.5 100.43514473464101 279.5962387170649
2 2.5 87.05206593335285 280.19104404668616
3 2.5 151.37028730414326 156.50359186825995
4 2.5 145.37391271004398 162.39098704363812
0 3.0 99.70033486656999 280.59579263216824
2 3.0 88.2117080352269 279.55298224163334
3 3.0 149.83086971617044 158.12222620186742
4 3.0 143.6526360604004 164.09262855922347
0 3.5 98.96552499849895 281.5953465472717
2 3.5 89.37135013710096 278.9149204365805
3 3.5 148.29145212819765 159.7408605354749
4 3.5 141.93135941075684 165.79427007480882
0 4.0 98.23071513042792 282.59490046237505
2 4.0 90.53099223897505 278.2768586315276
3 4.0 146.7520345402249 161.35949486908237
4 4.0 140.21008276111326 167.49591159039417
0 4.5 98.73481648021365 281.9091768491226
2 4.5 91.6906343408491 277.63879682647473
3 4.5 145.21261695225212 162.97812920268981
4 4.5 138.48880611146967 169.19755310597952
0 5.0 100.31566070112689 279.75877155539615
2 5.0 92.85027644272316 277.0007350214219
3 5.0 143.67319936427933 164.59676353629726
4 5.0 136.76752946182611 170.8991946215649
0 5.5 101.84548063778888 279.39641532563314
2 5.5 94.00991854459721 276.36267321636905
3 5.5 142.13378177630653 166.21539786990473
4 5.5 135.04625281218256 172.60083613715028
0 6.0 103.30779288380353 281.39973780834134
2 6.0 95.16956064647128 275.72461141131623
3 6.0 140.59436418833374 167.8340322035122
4 6.0 133.324976162539 174.3024776527356
0 6.5 104.77010512981819 283.4030602910495
2 6.5 96.32920274834534 275.0865496062633
3 6.5 139.05494660036092 169.45266653711968
4 6.5 131.60369951289545 176.00411916832098
0 7.0 105.35005260093448 284.1975703629192
2 7.0 97.4888448502194 274.44848780121043
3 7.0 137.51552901238816 171.07130087072713
4 7.0 129.88242286325186 177.70576068390633
2 7.5 98.64848695209345 273.8104259961576
3 7.5 135.97611142441536 172.6899352043346
4 7.5 128.1611462136083 179.40740219949168
2 8.0 99.8081290539675 273.17236419110475
3 8.0 134.43669383644257 174.30856953794205
4 8.0 126.43986956396473 181.10904371507706
2 8.5 100.96777115584158 272.53430238605193
3 8.5 132.89727624846978 175.92720387154952
4 8.5 124.71859291432116 182.81068523066241
1 9.0 106.53102024768799 285.1710065060639
2 9.0 102.12741325771563 271.896240580999
3 9.0 131.35785866049702 177.545838205157
4 9.0 122.9973162646776 184.51232674624777
0 9.5 105.48695564854962 283.5055411695636
1 9.5 105.33073055448118 284.7534366987407
2 9.5 103.28705535958969 271.2581787759462
3 9.5 129.81844107252422 179.16447253876447
4 9.5 121.27603961503402 186.21396826183312
0 10.0 105.90947176894612 281.3697706730613
1 10.0 105.76287678275494 282.6342030883834
2 10.0 104.44669746146374 270.6201169708933
3 10.0 128.27902348455143 180.78310687237195
4 10.0 119.55476296539045 187.91560977741847
0 10.5 106.33198788934263 279.2340001765588
1 10.5 106.19502301102871 280.5149694780261
2 10.5 105.60633956333783 269.98205516584045
3 10.5 126.73960589657865 182.4017412059794
4 10.5 117.8334863157469 189.61725129300385
0 11.0 106.75450400973912 277.0982296800564
1 11.0 106.62716923930246 278.39573586766875
2 11.0 106.76598166521188 269.3439933607876
3 11.0 125.20018830860586 184.0203755395869
4 11.0 116.11220966610334 191.3188928085892
0 11.5 107.17702013013565 274.96245918355396
1 11.5 107.05931546757623 276.2765022573114
2 11.5 107.92562376708594 268.70593155573476
3 11.5 123.66077072063307 185.6390098731943
4 11.5 114.39093301645977 193.02053432417455
0 12.0 107.59953625053214 272.82668868705156
1 12.0 107.49146169584999 274.1572686469541
2 12.0 109.08526586896 268.0678697506819
3 12.0 122.12135313266027 187.25764420680179
4 12.0 112.6696563668162 194.7221758397599
0 12.5 108.02205237092865 270.69091819054916
1 12.5 107.92360792412376 272.03803503659674
2 12.5 110.24490797083405 267.429807945629
3 12.5 120.58193554468748 188.87627854040926
4 12.5 110.94837971717266 196.42381735534528
0 13.0 108.44456849132516 268.5551476940467
1 13.0 108.35575415239751 269.91880142623944
2 13.0 111.4045500727081 266.79174614057615
3 13.0 119.0425179567147 190.49491287401673
4 13.0 109.22710306752907 198.12545887093063
0 13.5 108.86708461172165 266.41937719754424
1 13.5 108.78790038067127 267.7995678158821
2 13.5 112.56419217458217 266.1536843355233
3 13.5 117.50310036874191 192.1135472076242
4 13.5 107.5058264178855 199.82710038651598
0 14.0 109.28960073211816 264.28360670104183
1 14.0 109.22004660894503 265.6803342055248
2 14.0 113.72383427645623 265.51562253047047
3 14.0 115.96368278076913 193.73218154123165
4 14.0 105.78454976824194 201.52874190210133
0 14.5 109.71211685251467 262.14783620453943
1 14.5 109.6521928372188 263.56110059516743
2 14.5 114.88347637833029 264.8775607254176
3 14.5 114.42426519279633 195.3508158748391
4 14.5 104.06327311859837 203.23038341768668
0 15.0 110.13463297291118 260.012065708037
1 15.0 110.08433906549257 261.44186698481013
2 15.0 116.04311848020436 264.2394989203647
3 15.0 112.88484760482353 196.96945020844657
4 15.0 102.3419964689548 204.93202493327203
